"Pix key", "Sua chave PIX"
"Access Token", "API Token"
"Menssage Error", "Mensagem de erro"
"Error message to frontend users in order placed", "Message de erro para finalização de pedidos"
"Enable Static PIX on error", "Ativar PIX estático em caso de erro"
"Institution","Instituição"
"PIX key","Sua chave PIX"
"Expire time","Tempo de expiração"
"QR code expiration time in minutes","Tempo de expiração do QR code em minutos "
"Enable cancel order","Habilita cancelamento do pedido"
"Enable cancel order after QR code expiration time","Habilita cancelamento do pedido após expiração do QR code"
"Countdown time","Tempo da contagem regressiva"
"Countdown time in minutes","Tempo da contagem regressiva em minutos"
"Scann the QRCODE","Escanear QRCODE"